SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,ALANKAR WOOD CRAFT,"27-20-44, 1ST FLOOR, MUSEUM ROAD,GOVERNOR PET",MUSEUM ROAD,VIJAYAWADA,ANDHRA PRADESH,520002,DISPLAY,0866-2570366,,92471 97788
2,BHAVANI SHOPPE,"10-121, GANDHI ROAD",GANDHI ROAD,CHITTOOR,ANDHRA PRADESH,517007,EXCLUSIVE,08572-229366,,96423 20999
3,COMFORT FOAMS & FURNITURE,"10/2/134,SUBBA RAO BUILDING, G. B. C. ROAD, SNP Agraharam",GBC ROAD,BAPATLA,ANDHRA PRADESH,522101,EXCLUSIVE,08643-224959,,92464 94424
4,COMFORT FOAMS & FURNITURE,"6-20-10,7TH LINE, 1ST CROSS, ARUNDEL PET", ARUNDEL PET,GUNTUR,ANDHRA PRADESH,522002,EXCLUSIVE,,,92464 94424
5,COMFORT FOAMS & FURNISHERS," 27-1-145, CHALLAPALLI BUNGLOW, ELURU ROAD",CHALLAPALLI BUNGLOW,VIJAYAWADA,ANDHRA PRADESH,520002,EXCLUSIVE,0866-2571843,,92464 94423
6,GARUDA MARKETING,"17/378, 2ND FLOOR, BB BUILDING, TRUNK ROAD. OPP: VRC GROUND", OPP: VRC GROUND,NELLORE,ANDHRA PRADESH,524001,DEALER,0861-2300202,,94901 25904
7,GLA ENTERPRISES,"40-421 A5, ESWAR NAGAR",ESWAR NAGAR,KURNOOL,ANDHRA PRADESH,518001,DEALER,08518-278209,,93938 10497
8,GP OFFICE NEEDS,"6-8-30, 8/2 LINE, BASAVARAMA COMPLEX, ARUNDEL PET",ARUNDEL PET,GUNTUR,ANDHRA PRADESH,522002,DEALER,0863-2226100 ,,93951 50255
9,JYOTHI FURNITURE," ALI BAIG STREET, ELURU ROAD", ELURU ROAD,VIJAYAWADA,ANDHRA PRADESH,520002,DEALER,0866-2574103,,98481 37133
10,RAMACHANDRA BROTHERS,"6-20-89,7/1, LAKSHMI PURAM, MAIN  ROAD",LAKSHMI PURAM,GUNTUR,ANDHRA PRADESH,522006,DEALER,0863-2210158,,99854 59497
11,SHALINI DECORS,"4TH LINE, ARUNDEL PET, OPP:GEETHA RESIDENCY",ARUNDEL PET,GUNTUR,ANDHRA PRADESH,522002,DEALER,0863-2353784,,93907 53784
12,SRI VENKATESWARA EMPORIUM,"35/1/9,RAMABHADRA COMPLEX,1ST FLOOR,RASTRAPATHI ROAD, MAIN ROAD",RASTRAPATHI ROAD,TANUKU,ANDHRA PRADESH,534211,DISPLAY,08819-223277,,98496 48366
13,TATAVARTHY HARIGOPAL,P.P ROAD,P.P ROAD,BHIMAVARAM,ANDHRA PRADESH,534202,DEALER,08816-222708,,98498 33199
14,TIRUMALA FURNITURE,"9-166, NEAR AYYAPPA SWAMY TEMPLE,NARASAPURAM ROAD",NARASAPURAM ROAD,PALAKOLLU,ANDHRA PRADESH,534260,DEALER,08814-220000,,75999 99990
15,TRISUL FOAMS,"OPP: TAGORE LIBRARY, BUNDER ROAD",BUNDER ROAD,VIJAYAWADA,ANDHRA PRADESH,520002,DEALER,0866-2579122,,98493 46962
16,SOUTHERN AGENCIES,"3-6-4/1, SAI PLAZA, GROUND FLOOR, STATION ROAD",STATION ROAD,BHIMAVARAM,ANDHRA PRADESH,534202,DEALER,08816-223327,,99490 02069
17,SOUTHERN AGENCIES,"23B-7-8/2, SHOP NO:2,3,&4, CPI COMPLEX,RR PET",RR PET,ELURU,ANDHRA PRADESH,534002,DEALER,08812-230414,,93470 59949
18,SOUTHERN AGENCIES,"11-1175-1, CHEMMANNAGIRI PET, VIJAYAWADA ROAD",VIJAYAWADA ROAD,MACHILIPATNAM,ANDHRA PRADESH,521001,DEALER,08672-223087,,98666 95799
19,SOUTHERN AGENCIES,"33-1-46, RASTRAPATHI ROAD, NEAR OLD URBAN POLICE STATION",RASTRAPATHI ROAD,TANUKU,ANDHRA PRADESH,534211,DEALER,08819-222204,,98665 96601
20,SOUTHERN AGENCIES ,"DOOR NO: 50-56-22, ",RAJENDRA NAGAR,VISAKHAPATNAM,ANDHRA PRADESH,531037,DISPLAY,,,955069998
21,SANVIN FURNITURE ,"DOOR NO 1-26/1, TALLAPUDI MANDALAM, ",TALLAPUDI,WEST GODAVARI ,ANDHRA PRADESH,534341,EXCLUSIVE,,,9176633925
22,ROYALINE ENTERPRIZIES ,"DOOR NO- 3.221/27, MUTYAMAMBA COLONY, REVENUE WARD- 69, BESIDE KUBA MASJID, PINAGADI ROAD. ",VEPAGUNTA,VISAKHAPATNAM ,ANDHRA PRADESH,530047,DEALER,,,9885663840
23,SOUTHERN AGENCIES ,"C2-510, GANGA GODAVARI APPARTMENT",MADHAVADHARA,VISAKHAPATNAM ,ANDHRA PRADESH,530007,DEALER,,,9963754788
24,SOUTHERN AGENCIES ,"FLAT NO: C-2,RAJVIHAR APPARTMENTS, ",NARASIMHA NAGAR,VISAKHAPATNAM ,ANDHRA PRADESH,530024,DEALER,,,9704609998
25,SANVIN FURNITURE ,"2-551, ADARSH NAGAR, CHEEDIGA,",INDRAPALAM,EAST.GODAVARI. ,ANDHRA PRADESH,533006,DEALER,,,9440875526
26,SANVIN FURNITURE ,"10-51-6/1,  ",WALTAIR UPLANDS,VISAKHAPATNAM,ANDHRA PRADESH,530003,DEALER,,,9848187565
27,SANVIN FURNITURE,"6-78, BESIDE BAJAJ SHOWROOM, CHANDRAM PALEM, ",MADHURUWADA,VISAKHAPATNAM ,ANDHRA PRADESH,530048,DEALER,,,9642422490
28,SOUTHERN AGENCIES ,"DOOR NO -58-14-89/3/14, FLAT NO-402, SREE SREE VAIBHAVE HILLS,MARRIPALAM VUDA LYOUT",GOPALAPATNAM,VISAKHAPATNAM ,ANDHRA PRADESH,530018,DEALER,,,9652631634
29,SOUTHERN AGENCIES ,"2-72, NEW COLOLY,S ACYUTA PURAM, KAKINADA RURAL, ",GANDHINAGAR,EAST.GODAVARI,ANDHRA PRADESH,533004,DEALER,,,9246692726
30,SANVIN FURNITURE ,"DOOR NO- 1-1, DASARALU PUNTA, CHINTALAMORE VILLAGE, MALAKIPURAM MANDALAM,",RAZOLU,EAST.GODAVARI,ANDHRA PRADESH,533250,DEALER,,,9908895058
31,SANVIN FURNITURE ,"PLOT NO: 8, NEAR EMPLOYEMENT OFFICE",GOPAL NAGAR,VIZAGAMARAM ,ANDHRA PRADESH,535003,DEALER,,,9908895058
32,SOUTHERN AGENCIES ,"6-11-58/1, MAIN ROAD, ",CHINNA WALTAIR,VISAKHAPATNAM ,ANDHRA PRADESH,530017,DEALER,,,9052367137
33,SANVIN FURNITURE,"GREENJAMS INFRASTRUCTURES LLP, BEHIND JOS ALUKKAS JEWELLERS, 10-5-14/C, 401, MANTIS APPARTMENTS,  FACOR LAYOUT, ",RAMNAGAR,VISAKHAPATNAM ,ANDHRA PRADESH,530002,DEALER,,,8978924136
