SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,SYMPHONIE'S,"SHOP NO-3, RAJENDRA MARKET, SIKANDERPUR BY PASS ROAD, ",SIKANDERPUR,GURUGRAM,HARYANA,122004,EXCLUSIVE SHOWROOM,,,9311226868
2,CREATIVE WONDERS,"PLOT NO.277,  ",INDUSTRIAL AREA PHASE 2,PANCHKULA,HARYANA,160047,DEALER,0172-2591599,,9501088842
3,SONI FURNISHERS,"39,  ",INDUSTRIAL AREA PHASE 2,PANCHKULA,HARYANA,140603,DEALER,0172-2591045,,93179 88582
4,AHUJA FURNISHERS,SCO 18 ,SETOR-11,PANCHKULA,HARYANA,134109,DEALER,,,98141 87031
5,AHUJA FURNISHERS ,"210, PHASE-2 ",INDUSTRIAL AREA ,PANCHKULA,HARYANA,160047,DEALER,,,98141 48219
6,SHAGUN HOME STORE,"DSS 405, ","SECTOR-8,",PANCHKULA,HARYANA,134109,DEALER,,,98728 96792
7,INNOVATIVE KOMFORTS,"259,",INDUSTRIAL AREA PHASE 2,PANCHKULA,HARYANA,160047,DEALER,,,92163-42233
8,EMSON HOME FURNISHINGS,"SHOP NO. 14, RALLY ON DIVIDING 12 ",SECTOR 12-A,PANCHKULA,HARYANA,134109,DEALER,0172-2562770,,96811 10000
9,MASTER & COMPANY,"4270,HILL ROAD,SUBZI MANDI,NEAR VIJAYA BANK ",AMBALA CANTT.,AMBALA CANTT.,HARYANA,133001,DISPLAY,,,98024 69001
10,BICHHONA HOME DESIGNE STUDIO,"SHOWROOM-1 SS PLAZA,MIDTOWN CHOWK, DELHI ROAD ",HISSAR,HISSAR,HARYANA,125001,DEALER,0166-2226306,,96716 65446
11,JAIN SONS,"CHATTRAWAS  ROAD, ",KAITHAL ,KAITHAL,HARYANA,136027,DEALER,,,90172 12000
12,THE PANIPAT HANDLOOM CENTRE,"SCO 165 RED SQUARE MARKET,NEAR OVERRIDE RAILWAY ROAD, .",HISSAR,HISSAR,HARYANA,125001,DEALER,0166-2235485,,98120 45856
13,PUNJAB FURNITURE,"OPPOSITE PUNJAB NATIONAL BANK G.T.ROAD,",KARNAL,KARNAL,HARYANA,132001,DEALER,0188-4041966,,98960 11919
14,CASABLANCA THE FURNISHING STORE,"PRINCE ESTATE,OPPOSITE HOTEL GOLD,G.T. ROAD,",PANIPAT,PANIPAT,HARYANA,132103,DEALER,0180-4050150,,98962 04304
