SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,CALIBER ENTERPRISES,#ERROR!,ABIDS ,HYDERABAD ,TELANGANA ,500001,DISPLAY,,,8886002136
2,GOPAL FURNISHINGS,#ERROR!,AMEERPET,HYDERABAD ,TELANGANA ,500016,DISPLAY,,,9849350678
3,NAGPALS FOAM PALACE,#ERROR!,ABIDS ,HYDERABAD ,TELANGANA ,500001,DEALER,,,9573284811
4,RS FURNITURE,#ERROR!,SECUNDERABAD,HYDERABAD ,TELANGANA ,500003,DISPLAY,,,9908305448
5,PARAMESHWAR TRADING & INTERIOR,#ERROR!,SECUNDERABAD,HYDERABAD ,TELANGANA ,500003,DEALER,,,9848214578
6,NISHKA PRODUCTS PVT LTD,#ERROR!,MEHDIPATNAM,HYDERABAD ,TELANGANA ,500028,DEALER,,,9885287303
7, JAYA DURGA  FURNISHING ,#ERROR!,AMEERPET,HYDERABAD ,TELANGANA ,500016,DEALER,,,9246173937
8, SHOBA DECORES ,#ERROR!,SUCHITRA ,HYDERABAD ,TELANGANA ,500067,DEALER,,,9000339938
9, SOUTHERN AGENCIES KHAMMAM,#ERROR!,KAVIRAJ NAGAR ,KHAMMAM,TELANGANA ,507002,DEALER,,,9866957701
10,SOWMYA FURNITURES,#ERROR!,KUKATPALLY,HYDERABAD ,TELANGANA ,500072,DEALER,,,9848038795
11,WOOD STYLE,#ERROR!,BANJARHILLS,HYDERABAD ,TELANGANA ,500034,DEALER,,,9848167089
12,LAKSHMI GANAPATHI ENTERPRISES,#ERROR!,AMEERPET,HYDERABAD ,TELANGANA ,500016,DEALER,,,9440349590
13,SOUTHERN AGENCIES WARANGAL,#ERROR!,KASHIBUGGA,HYDERABAD ,TELANGANA ,506002,DEALER,,,8374336369
14,SAINATH ENTERPRISES  ,#ERROR!,BOWENPALLY,HYDERABAD ,TELANGANA ,500009,DEALER,,,9849307008
15,BATCHA'S SLEEP ZONE,#ERROR!,NAMPALLY,HYDERABAD ,TELANGANA ,500095,DEALER,,,9247075859
16,POORNIMA FURNITURES,#ERROR!,DILSUKHNAGAR,HYDERABAD ,TELANGANA ,500060,DEALER,,,9849326544
17,SAI BABA FURNITURE,#ERROR!,KUKATPALLY,HYDERABAD ,TELANGANA ,500072,DEALER,,,9440222957
18,TREASURE TRAOVE,#ERROR!,BEGUMPET,HYDERABAD ,TELANGANA ,500016,DEALER,,,9246156415
19,S R ENTERPRISES,#ERROR!,MUSHEERABAD,HYDERABAD ,TELANGANA ,500020,DEALER,,,9502697353
20,BUYWELL CORPORATION,#ERROR!,RC PURAM,HYDERABAD ,TELANGANA ,502032,DEALER,,,9490438586
21,BLUE LEAF INTERIOR,#ERROR!,KAPRA,HYDERABAD ,TELANGANA ,500062,DEALER,,,7671041847
22,SOUTHERN AGENCIES KOTHGUDAM ,#ERROR!,KOTHGUDAM,HYDERABAD ,TELANGANA ,507101,DEALER,,,8688401635
23,SUPREME ENTERPRISES ,#ERROR!,MANIKONDA,HYDERABAD ,TELANGANA ,500089,DEALER,,,9347755591
24,STANDARD TRADING CO  ,#ERROR!,AMEERPET,HYDERABAD ,TELANGANA ,500016,DEALER,,,9246839786
25,NEW HOME DRAPES FURNISHING ,#ERROR!,KHAMMAM,KHAMMAM,TELANGANA ,507002,DEALER,,,9848090080
26,LUXY RETAIL ,#ERROR!,GACHIBOWLI ,HYDERABAD ,TELANGANA ,500019,DEALER,,,9000188400
27,BUSINESS SOLUTIONS,#ERROR!,NIZAMPET,HYDERABAD ,TELANGANA ,500090,DEALER,,,9963479981
28,MAYANK DECORE,"1-57/32 & 33 FIRST FLOOR,NEARATRIUM MALL, GACHIBOWLI",GACHIBOWLI ,HYDERABAD ,TELANGANA ,500032,DEALER,,,8686688061
29,SHREE KUMAR ENTERPRISES,"1,2,3, FLOOR,H:NO 22/27/3, RADHA KRISHA NAGAR,MALKAJGIRI",MALKAJGIRI,HYDERABAD ,TELANGANA ,500047,DEALER,,,9010755522
30,SUPER FURNISHING & MATTRESS,"H:NO 16-116/174/1, MALLA REDDY COLONY, OPP: JOCKEY STORE,BEERUMGUDA",BEERUMGUDA,HYDERABAD ,TELANGANA ,500032,DEALER,,,9704086376
31,LIVING HOME STORE,"G-5,SRI SURYA'S ICON, GROUND FLOOR, BALAJI NAGAR,ROAD NO 1,NIZAMPET,",BALAJI NAGAR ,HYDERABAD ,TELANGANA ,500090,DEALER,,,9393407405
32,NEW MATTRESS KORNER,"SHOP NO 2, CELLAR H:NO 1-57/A/17,PLOT NO 17,SRI RAM NAGAR KONDAPUR",KONDAPUR,HYDERABAD ,TELANGANA ,500084,DEALER,,,9052815345
33,CHITHRADECORS,"S NO 102,103, BLOCK B, 1ST FLOOR,PAGADA PRIDE,BACHUPALLY",BACHUPALLY,HYDERABAD ,TELANGANA ,500090,DEALER,,,7337511766
34,GURUNANAKA FURNITURE ,"7-1-24/C/G-2/B,SHOP NO 2,GROUND FLOOR,SURABHI COMMERCIAL COMPLEX,AMEERPET,",AMEERPET,HYDERABAD ,TELANGANA ,500016,DEALER,,,9908305448
35,ROYAL IMPEX ,"4-7-1121/5, RANG MAHAL ROAD, PUTLIBOWLI,",PUTLIBOWLI ,HYDERABAD ,TELANGANA ,500095,DEALER,,,9866099988
