SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,MARUTHI ENTERPRISES,"NO. 106, SSI AREA, 5TH BLOCK, ","DR. RAJKUMAR ROAD,",BANGALORE,KARNATAKA,560010,EXCLUSIVE SHOWROOM,080-23151591,080-23304579,9845067364
2,NEW COTTON DESIGN,"NO 239/26, 9TH MAIN 3RD BLOCK",JAYANAGAR,BANGALORE,KARNATAKA,560041,EXCLUSIVE SHOWROOM,,,9880708008
3,SJ TRADERS,"NO.4, SAI ARCADE,GROUND FLOOR,KOTHANUR MAIN ROAD,","JP NAGAR, 7TH PHASE",BANGALORE,KARNATAKA,560078,EXCLUSIVE SHOWROOM,,,9986027568
4,NR TRADERS,"NR TOWERS, 17TH CROSS, 19TH MAIN,OPPOSITE RELIANCE DIGITAL, NEAR SAI MANDIR,","SECTOR 4, HSR LAYOUT",BANGALORE,KARNATAKA,560102,EXCLUSIVE SHOWROOM,,,9620704646
5,CURTAINS AND BLINDS,"SHOP NO. 8A, PREMISE NO. 28/2,GROUND FLOOR, VIDHYA MANNER BUILDING,ANJINAPPA LAYOUT, KOTHANUR,K.NARAYANAPURA MAIN ROAD,",KOTHANUR,BANGALORE,KARNATAKA,560077,EXCLUSIVE,,,9845564972
6,NANDI FURNISHING,"PLOT NO.92, 2ND PHASE SOMPURA INDL. AREA, DODDABALLAPUR ROAD, THIMMANAYAKANAHALLI, ","DABASPET, NELAMANGALA",BANGALORE RURUAL,KARNATAKA,562111,DISPLAY,,,98454 41134
7,GEOSON AGENCIES,"32, INFANTRY ROAD   ",SHIVAJI NAGAR,BANGALORE  ,KARNATAKA,560001,DEALER,080-22868120,080-22863825,9164103800
8,S J MARKETING,"2C , 202, 2ND MAIN, 2ND CROSS,EAST OF NGEF LAYOUT, KASTURINAGAR,",KALYANNAGAR.,BANGALORE  ,KARNATAKA,560043,DEALER,,,9880844108
9,ROYAL FOAM AND FURNISHING,"105/2, LALBAGH FORT ROAD", LALBAGH FORT ROAD,BANGALORE  ,KARNATAKA,560004,DEALER,080-26578784,,9341264330
10,MUKESH ENTERPRISES,"#56, LALBAGH ROAD, ",LALBAGH GARDEN      ,BANGALORE  ,KARNATAKA,560004,DEALER,080-22236324,080-41243355,9538878007
11,GEO GROUP,"NO.32, 80 FT ROAD ,","H BLOCK, KORAMANGALA  ",BANGALORE  ,KARNATAKA,560034,DEALER,080-25635418,,9886191906
12,HOME FURNISHING,"7/2, DOUBLE ROAD,",DOUBLE ROAD,BANGALORE  ,KARNATAKA,560027,DEALER,080-22238647,080-22218261,9886347237
13,SLEEP ON COIR PRODUCTS,"NO.691, 7TH MAIN , HMT LAYOUT, ",R.T.NAGAR,BANGALORE  ,KARNATAKA,560032,DEALER,080-23331190,,9741290327
14,GEO AGENCIES,"66, C.M.H.ROAD,                                                                         ",INDIRANAGAR 1ST STAGE,BANGALORE  ,KARNATAKA,560038,DEALER,080-25250816,,9844171889
15,WALLMARKS,"NO.856, VINAYAKA LAYOUT,80 FEET ROAD",NAGARABHAVI  II STAGE,BANGALORE  ,KARNATAKA,560072,DEALER,,,9902033964
16,ABRO AGENCIES,"G-Z 1, BRIGADE GARDEN,",CHURCH STREET,BANGALORE  ,KARNATAKA,560001,DEALER,080-25321126,080-25587017,9342008857
17,DARLA SALES & AGENCIES,"1516/A, SHIVRAMPET                                                                   ",MYSORE,MYSORE,KARNATAKA,570 001         ,DEALER,0821-2431473,,9886224170
18,FLOATING WALLS PVT LTD,"377/61, 43RD CROSS,9TH MAIN,5TH BLOCK,                                                                                                                                                                                 ",JAYANGAR,BANGALORE  ,KARNATAKA,560041,DEALER,,,9448389886
19,FOAM FASHION,"NO. 6, GROUND FLOOR ,S&S CORNER, NO.48,,BOWRING HOSPITAL ROAD",SHIVAJI NAGAR,BANGALORE  ,KARNATAKA,560001,DEALER,080-41239374,080-25595659,8951207900
20,INSPIRATIONS ,"NO.8, 8TH CROSS,MARGOSA ROAD,MSM.CO-OP.SOCIETY BLDG",MALLESWARAM,BANGALORE  ,KARNATAKA,560003,DEALER,080-23340520,080-48066737,9972040877
21,LINKERS ,"1& 18, EASTERN BLOCK,JAYANAGAR SHOPPING COMPLEX ",JAYANAGAR,BANGALORE  ,KARNATAKA,560011,DEALER,080-26630621,080-41307138,9845545384
