SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,CEE PEE AGECIES,"163/829, PARAKKATT BUILDING,KATHRIKADAVU ",KALOOR,ERNAKULAM,KERALA,682017,EXCLUSIVE SHOWROOM,,,9388608825
2,EM BABY TRADING COMPANY,MULANKUZHA JUNCTION,NATTAKAM P.O,KOTTAYAM,KERALA,686001,EXCLUSIVE SHOWROOM,0481-2363636,,8589001543
3,HOUSE HOLD AGENCIES,"SANKARA IYYER ROAD,",THRISSUR,THRISSUR,KERALA,680004,EXCLUSIVE SHOWROOM,,,7902782000
4,NAKSHATHRA ASSOCIATES,"THAYILLAM COMPLEX,OPPOSITE PARK RAJADANI HOTEL,",ULLOOR JN,TRIVANDRUM,KERALA,695011,EXCLUSIVE SHOWROOM,,,9496750301
5,BEN HOME APPLIANCES,"KOICKAL SHOPPING COMPLEX,",MUTTUMON KUMBANADU,KOLEMCHERY,KERALA,682310,EXCLUSIVE SHOWROOM,0468-2315050,,9349156177
6,DREAM PORT,"BANK ROAD, ",CALICUT,MALLAPURAM,KERALA,,EXCLUSIVE SHOWROOM,,,
7,KHALEEJ  MATTRESSES ,ISLAHIYA SCHOOL,"VARANGODE,",MALLAPURAM,KERALA,676519,EXCLUSIVE SHOWROOM,,,9495216613
8,INDIA TRADE,"BEHIND HEAD POST OFFICE, ",KOTTYAM,KOTTYAM,KERALA,686001,DISPLAY,0481-2562277,,9495234001
9,PARAPPATTU TRADING,OLD PRIVATE BUS STAND,PATHANAMTHITTA,PATHANAMTHITTA,KERALA,689645,DISPLAY,,,
10,BED N COT,"OPP. OBRON MALL,N H BYPASS ",EDAPPALLY,ERNAKULAM,KERALA,682024, DISPLAY,,,9847389781
11,KHALEEJ  MATTRESSES ,"CHETTIPPURAMAD, ",VENGARA P.O,MALAPPURAM,KERALA,676304, DISPLAY,,9747378863,9446154224
12,SEATEX FURNISHING,THAKARAPARAMBU ROAD,PAZHAVANGADI,TRIVANDRUM,KERALA, 695001,DEALER,,,9447178879
13,BED CENTRE ,M C ROAD ,MUTHOOR ,THIRUVALLA,KERALA,689101,DEALER,,,9447059626
14,BED STORE ,"KOZENCHERY ROAD,NEAR NIPPON TOYOTTA SHOWROOM,CHURULIKKODU PO",PATHANAMTHITTA,PATHANAMTHITTA,KERALA,689668,DEALER,,,7907240968
15,PAZHUPARAMPIL BED CENTRE,"POST OFFICE JU, ",M C ROAD ,CHANGANACHERRY,KERALA,686101,DEALER,,,9847009545
16,EE VEE ENTERPRISES,"Ee Vee ARCADE, LESHMINADA JU",KOLLAM,KOLLAM,KERALA,691013,DEALER,,,9847147384
17,KUNNUMPURAM HOME DECOR,"Krishna Complex, Cherthala Thanneermukkom Road",CHERTHALA,Alappuzha,KERALA,688524,DEALER,,,8089164895
18,S & B AGENCIES,K P ROAD ,KAYAMKULAM,KAYAMKULAM,KERALA,690502,DEALER,,,9447265494
19,ARVEE FURNITURE, KALLUMALA PUTHIYAKAVU ROAD,MAVELIKKARA,MAVELIKKARA,KERALA,690101,DEALER,,,9497720104
20,ATTINKARA ,"VANDIMALA JN,MC ROAD",CHENGANOOR,CHENGANOOR,KERALA,689121,DEALER,,,9798000200
21,ATTINKARA ,"SH 1, NEAR THITTAMEL ARAMANA",CHENGANOOR,CHENGANOOR,KERALA,689121,DEALER,,,9798000200
22,ATTINKARA ,"SALEM-KOCHI-KANYAKUMARI HIGHWAY,KALARCOD JN,",KALARCOD,ALAPPUZHA,KERALA,688003,DEALER,,,9798000200
23,ATTINKARA ,"T.K.ROAD,MARAMON",KOZHENCHERRY,KOZHENCHERRY,KERALA,689549,DEALER,,,9798000200
24,ATTINKARA,MARKET JUNCTION,ANCHAL,KOLLAM,KERALA, 691306,DEALER,,,9798000200
25,ATTINKARA ,PULAMON JUNCTION,KOTTARAKKARA,KOLLAM,KERALA,691531,DEALER,,,9798000200
26,ATTINKARA ,"SH 1, OPP. N,S,S COLLEGE, NILAMEL JN.,",NILAMEL,KOLLAM,KERALA,691536,DEALER,,,9798000200
27,ATTINKARA,"NH47, NEMOM",KARAKKAMANDAPOM,TRIVANDRUM,KERALA,695020,DEALER,,,9798000200
28,ATTINKARA,"HALF MOON TOWER, PONGUMOODU ROAD,",SREEKARIYAM,TRIVANDRUM,KERALA,695017,DEALER,,,9798000200
29,ATTINKARA,"K P ROAD , NEAR HEAD POST OFFICE,",K P ROAD ,KAYAMKULAM,KERALA,690502,DEALER,,,9798000200
30,SAJEED BED CENTRE,BANERJI ROAD, KACHERIPADY,ERNAKULAM,KERALA,682018,DEALER,,,9846122321
31,PAZHUPARAMPIL FURNITURE ,PAZHAVAGADI P O ,RANNI,RANNI,KERALA,689673,DEALER,,,9447162732
32,CLASSIC TRADERS,BETHANY SHOPPING COMPLEX ,"MAIN CENTRAL ROAD, KURISSADI JUNCTION, SH 1",TRIVANDRUM,KERALA,695015,DEALER,,,9400033600
33,KARNATAKA BED EMPORIUM,BAKERY JN ,VAZHUTHACAUD ROAD ,TRIVANDRUM,KERALA,695010,DEALER,,,9846012398
34,TOPAZ FURNITURE,OPP NJARAKAL POLICE STATION,NJARAKKAL,ERNAKULAM,KERALA,682505,DEALER,,,9400994952
35,GRACE REXIN HOUSE,KALLUMKADAVU,PATHANAPURAM,PATHANAPURAM,KERALA,689695,DEALER,,,9774066173
36,ALPHA FURNITURE,"SH15,  SHANTI NAGAR,CHOORAKAD",THRIPPUNITHURA,ERNAKULAM,KERALA,682301,DEALER,,,9447209062
37,SUNSHINE FURNITURE,"SH 1, M C ROAD ",PANTHALAM,PANDALAM,KERALA,689501,DEALER,,,7907168093
38,WELTECH HOME MART,M C ROAD ,ADOOR,PATHANAMTHITTA,KERALA,691523,DEALER,,,8589040000
39,THRISSUR FURNITURE,THEKKENADA TEMPLE ARCH,HARIPPAD,HARIPPAD,KERALA,690514,DEALER,,,9446787827
40,ZION FURNITRE,PALLITHAZHAM,MULANTHURUTHY,ERNAKULAM,KERALA,682314,DEALER,,,9656682365
41,MALABAR WOOD FURNISHING,"SH1, M C ROAD", PERUMTHURUTHI,THIRUVALLA,KERALA,689107,DEALER,,,9446710005
42,SARATH HOME DECORE PVT LTD,"X RAY JN,",CHERTHALA,CHERTHALA,KERALA,688524,DEALER,,,9446418872
43,SURUMY FURNITURE,PALAMKADAVU ROAD ,PALAMKADAVU ROAD ,THALAYOLAPARAMBU,KERALA,686605,DEALER,,,9746153673
44,KUNNAMKULATHIL FURNITURE & BED CENTRE,PUKATTUPADY ROAD ,EDAPPALLY,ERNAKULAM,KERALA,682024,DEALER,,,9895321432
45,SAGA INTERIORS & FURNITURE,THIRUVANIYOOR P O ,THIRUVANIYOOR P O ,ERNAKULAM,KERALA,682308,DEALER,,,7591988704
46,MADANVILA BED SHOPPEE,"PULIYATHUMUKKU JN,", KILIKOLLOOR P O ,KOLLAM,KERALA,691577 ,DEALER,,,7025427091
47,CHAKOLAS INTER FURN ,"TOWN HALL ROAD, ",THRISSUR,THRISSUR,KERALA,680020,DEALER,0487-2331627,,
48,GEO AGENCIES,"PADMA JUNCTION, KACHERIPADY","CHITTOOR ROAD, ",ERNAKULAM,KERALA,682018,DEALER,,,9847002727
49,ORMA INTERIOR GALERY,"CITY FLOWER, OPP PERIYAR HOSPITAL",KUMALI,KUMALI,KERALA,685509,DEALER,04869-222881,,9947925816
50,ANAKKALLUMKAL ENTERPRISES,"VELLAPPADU, MAIN ROAD, ",PALA,KOTTYAM,KERALA,686575,DEALER,,,9495684240
51,EYESEES FURNITURE MART,"THRISSUR-KUNAMKULAM ROAD,AMALA NAGAR, ",THRISSUR,THRISSUR,KERALA,680555,DEALER,0487-2307377,,9847391595
52,FOAM INDIA,"PADMA JUNCTION, NORTH KALOOR,PULLEPADY, ","CHITTOOR ROAD,",ERNAKULAM,KERALA,682018,DEALER,,,9496229161
53,OXO THE GALLERY HOME DECORS,"VENGALLOOR JN, ",PM ROAD,TODUPUZHA,KERALA,685608,DEALER,,,9747090909
54,BASIL BED CENRE,"MC ROAD, ",VATTAKATTUPADY,PERUMBAVOOR,KERALA,683542,DEALER,,,9961839755
55,BALAKRISHNA FURNITURE WORKS & INTERIORS,TANA JN,IRIJALAKUDA,IRIJALAKUDA,KERALA,680121,DEALER,,,9605636447
56,NEW PRASAD FURNITURE,"STADIUM COMPLEX, ",THAVAKKARA,KANNUR,KERALA,670001,DEALER,,,9995103747
57,XELLENT ASSOCIATES,"METRO TOWER, PV SAMI ROAD, ",CHALAPPURAM,KOZHIKODE,KERALA,673001,DEALER,,,9947415090
58,ACE TRADING CORPORATION,"SAMA CENTRE,JUBILEE ROAD,",THALASSERY,KANNUR,KERALA,670001,DEALER,0490-2324299,,9847004001
59,RUBI FURNITURE & HOME APPLIANCES,"RUBI ARCADE, NEAR IDBI BANK",CHITTUR ROAD,PALAKKAD,KERALA,678013,DEALER,0491-2502217,,9447023217
60,PREMIER ALUMINIUM CENTER,"THRISSUR - KUNNAMKULAM RD,", CHANGARAMKULAM,MALAPPURAM,KERALA,679574,DEALER,,,8129112233
61,APSARA FURNITURE,KOTTACHERY,KANHANGAD,KANHANGAD,KERALA,671531,DEALER,,,9961071079
