SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,NORTHERN INDIA STEEL FABRICATORS & ALLIED INDUSTRIES.,"C-5, INDUSTRIAL AREA PHASE -1,",MOHALI,MOHALI,PUNJAB,160055,DEALER,0172-2224374,,98150 07404
2,WAVES SYSTEM CORPORATION,"SCO 112, PHASE 3B2,",MOHALI,MOHALI,PUNJAB,160059,DEALER,0172-5027770,,97804 88800
3,ARSH MOBEL  ENTERPRISES," PLOT 108, SECTOR 82 ",MOHALI,MOHALI,PUNJAB,140308,DEALER,,,88378 00068
4,GABA FOAMS,"NABHA GATE,",PATIALA,PATIALA,PUNJAB,147001,DISPLAY,0175-2209514,,92164-02964
5,KHANNA HANDLOOM,"PUDA COMPLEX, SHERE PUNJAB MARKET, SCO 4 AND 5, ",PATIALA,PATIALA,PUNJAB,147001,DEALER,,,94648 68686
6,SETHI COMMERCIAL ENTERPRISES,NABHA GATE,PATIALA,PATIALA,PUNJAB,147001,DEALER,0175-2310060,,98888 92312
7,MAHAVIR HANDLOOM,"2068,DUPPTTA MARKET,",RAJPURA,RAJPURA,PUNJAB,140401,DEALER,,,95693 37777
8,AHUJA FURNISHERS,"PATIALA RD, NEAR SHIV MANDIR, BANWARI VILLAGE, NEELPUR, ",RAJPURA,RAJPURA,PUNJAB,140401,DEALER,,,98144 62229
9,AHUJA FURNISHERS & DECORATORS,"PLOT NO: B3, 39A, UNDER BRIDGE RD, ",RAJPURA,RAJPURA,PUNJAB,140401,DEALER,,,97802 10537
10,FINE FURNISHERS,"KIKAR BAZAR,",BATHINDA,BATHINDA,PUNJAB,151005,DEALER,0164-2252540,,9569708905
11,CHAITANYA HANDLOOM,"OPP. PETROL PUMP HANUMAN CHOWK G.T. ROAD, ",BATHINDA,BATHINDA,PUNJAB,151001,DEALER,,,92167-99661
12,RAGHUDARSHAN HOME FURNISHINGS,"NEAR OVER BRIDGE,DHURI ROAD,",SANGRUR,SANGRUR,PUNJAB,148001,DEALER,,,98781 05181
13,JAIN EMPORIUM,"OLD MANDI GALI,NEAR CHHOTA CHOWK,",SANGRUR,SANGRUR,PUNJAB,148001,DEALER,,,94179 69200
14,DEEWAL FURNISHINGS,"SCF -4 LGF ,TULIP PLAZA, VIP ROAD, ",ZIRAKPUR,ZIRAKPUR,PUNJAB,140107,DEALER,,,89680 95609
15,MANSA RAM MAHAJAN FURNISHINGS PVT. LTD.,"NAKODAR ROAD ,NEAR LOVELY SWEETS,",JALANDHAR,JALANDHAR,PUNJAB,144004,DISPLAY,0181-5015809,,98724 70039
16,BED N BEYOND,"443,LAJPAT NAGAR MARKET,GURU NANAK MISSION CHOWK,",JALANDHAR,JALANDHAR,PUNJAB,144004,DEALER,,,99141 55558
17,SURINDRA BROTHERS,"NEAR  G.P.O  OPP. NAMDEV  CHOWK, ",JALANDHAR,JALANDHAR,PUNJAB,144004,DEALER,0181-5080464,,98141 60060
18,CHEAP MATTING HOUSE PVT.LTD.,"G.T. ROAD, NEAR JYOTI CHOWK,",JALANDHAR,JALANDHAR,PUNJAB,144001,DEALER,,,98727-00198
19,NEW JAIN FURNISHING HOUSE,"20-21,TAJ CITY 2,NAKODAR.",JALANDHAR,JALANDHAR,PUNJAB,144040,DEALER,,,98149-69711
20,BHARTIYA FURNITURE & AUTO WORKS,"PATIALA GATE,",NABHA,NABHA,PUNJAB,147201,EXCLUSIVE,,,98559 44444
21,VINOD FURNITURES,"RADHA  SWAMI SATSUNG, BYE PASS ROAD,",NABHA,NABHA,PUNJAB,147201,DEALER,,,99155 02661
22,NAVEEN BHARAT FURNISHING PVT.LTD.,"SCO 4-5,  ",PAKHOWAL ROAD,LUDHIANA,PUNJAB,141002,DEALER,0161-2432901,,98141 31000
23,J.R.FURNISHING PVT.LTD.,"SCO 20-21, OPPOSITE KEYS HOTEL, ",SOUTHERN BY PASS,LUDHIANA,PUNJAB,141002,DEALER,0161-2406228,,098885-07651
24,FURNISHING MALL,"GOVT.COLLEGE ROAD, ",CIVIL LINES.,LUDHIANA,PUNJAB,141002,DEALER,0161-5094444,,98141 31214
25,DIDAR SINGH & SONS,"G.T.ROAD, OPP. MANGOLIA HOTEL, .",KARTARPUR,KARTARPUR,PUNJAB,144801,DEALER,0181-2780159,,98140-18978
26,GEETA HANDLOOM HOUSE,"OPPOSITE GEETA BHAWAN,",BARNALA,BARNALA,PUNJAB,148101,DEALER,,,98720 34974
27,CANETEX,"SHOWROOM NO.27,",CHOWK FARID,AMRITSAR,PUNJAB,143001,DEALER,0183-2542827,,98159 42827
28,R.D.ENTERPRISES,"131,KABIR PARK,P.O.KHALSA COLLEGE",KABIR PARK,AMRITSAR,PUNJAB,143006,DEALER,,,98888 18101
29,SATGURU IRON & STEEL STORE,"SCF -18 19,LEAKWALA  TALAB,BATALA DISTRICT,",GURDASPUR,BATALA,PUNJAB,143505,DEALER,,,95922 44344
30,RAM SINGH & SONS,"CHANDIGARH ROAD, ",KHANNA.,KHANNA,PUNJAB,141401,DEALER,,,98888 26486
