SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,CHENNAI ENTERPRISES,"NO.1, WHITES ROAD, OPP EXPRESS AVENUE GATE NO.3",ROYAPETTAH,CHENNAI,TAMIL NADU,600014,EXCLUSIVE SHOWROOM,044-28522203,,9962121783
3,GLOBAL COMFORT SYSTEMS,"J-41, 2ND MAIN ROAD, ANNA NAGAR EAST",ANNA NAGAR EAST,CHENNAI,TAMIL NADU,600102,EXCLUSIVE SHOWROOM,044-26263407,9444063753,7358530671
8,I FURN,"NEW NO:69, OLD NO:23 A, NELSON MANICKAM ROAD, ",CHOOLAI MEDU,CHENNAI,TAMIL NADU,600094,DEALER,,9884790486,9500092220
9,FURNISHING POINT,"121, PYCROFTS ROAD, ",ROYAPETTAH,CHENNAI,TAMIL NADU,600014,DEALER,,9940295881,9940295881
10,KHADER BED STORES,"99/41, LB ROAD,",ADAYAR,CHENNAI,TAMIL NADU,600020,DEALER,,,9841136040
11,YASIN BEDDING MART,"NO.124, PURASIWAKKAM HIGH ROAD, KELLEYS CORNER",PURASAWAKKAM,CHENNAI,TAMIL NADU,600010,DEALER,,,9941017866
12,VIBRANT FURNISHINGS,"NO : 3, BAKERS STREET, OPP.NEHRU STADIUM (GATE NO:4)",BAKERS STREET,CHENNAI,TAMIL NADU,,DEALER,,,9841276765
13,SAI VENKATESWARA BED HOUSE,"NO : 7, SRINIVASA ROAD, (PONDY BAZAAR),",T.NAGAR,CHENNAI,TAMIL NADU,600017,DEALER,,9600170272,9444418037
18,JEYABHARATHAM FURNITURE ,"069, ROYAPETTAH HIGH ROAD",ROYAPETTAH,CHENNAI,TAMIL NADU,600014,DEALER,044-28111872,,9840439475
19,CHOICE DECORS ,"93,GANGADEESWARAR KOIL ST, PURASAWAKKAM HIGH ROAD,",PURASAWAKKAM,CHENNAI,TAMIL NADU,600010,DEALER,044-43539591,,9840422841
22,AJIN FOAM,"NEW 26, OLD 59/1C, JAWAHARLAL NEHRU ROAD, 100, FEET ROAD, ",VADAPALANI,CHENNAI,TAMIL NADU,600026,DEALER,,9444203216,9080379487
23,CLASSIC BEDDING & FURNISHINGS ,"61,1ST AVENUE, ",ASHOK NAGAR,CHENNAI,TAMIL NADU,600083,DEALER,,,9677290200
24,ELSHEDAI DECORS ,"NO. 84, ARCOT ROAD,","VALASARAVAKKAM,",CHENNAI,TAMIL NADU,600087,DEALER,,,9444190654
25,DEVI FURNISHING ,"156, PYCRAFTS ROAD, ",ROYAPETTAH,CHENNAI,TAMIL NADU,600014,DEALER,,9841118518,9840489199
27,GEO FOAM,"NEW NO.124, OLD NO. 37, NELSON MANICKAM ROAD,",AMINJIKARAI,CHENNAI,TAMIL NADU,600029,DEALER,044-22742055,,9841169585
28,VANTAGE RUBBER,"Old NO. 19, New No.58, NORTH MADA STREET,",NUNGAMBAKKAM,CHENNAI,TAMIL NADU,600004,DEALER,044-28221558,,9841029476
29,RAMAKRISHNA GLASS & PLYWOODS ,"NO : 7, ",RATHAN BAZZAAR ROAD,CHENNAI,TAMIL NADU,600003,DEALER,,,9840085262
30,COMFORT POINT,"C-37, SHOP NO.1, 2ND AVENUE, ",ANNA NAGAR,CHENNAI,TAMIL NADU,600040,DEALER,,,9840833731
31,MOON STAR BED MART,"NO:36,100 FEET BYE PASS ROAD, VIJAYANAGAR, ",VELACHERY,CHENNAI,TAMIL NADU,600042,DEALER,,,9840549967
34,KUBER'S FURNISHING ,"New No.198/1, Old No 138/1 4th Avenue, Gorund Floor Shanthi colony",ANNA NAGAR,CHENNAI,TAMIL NADU,600040,DEALER,,,9830809076
5,SARVADHA,"31-D, 10TH STREET, ","GANDHIPURAM,",COIMBATORE ,TAMIL NADU,641012,EXCLUSIVE SHOWROOM,0422-4380100,,7667437733
35,VISWAM TRADERS ,"NO.224(OLD NO.62), BY-PASS ROAD,",DHARMAPURI,DHARMAPURI,TAMIL NADU,636701,DEALER,,9443083686,9791238900
38,SWEET DREAMS,"552/4 RPP HALL, NATESAR MILL COMPOUND",PERUNDURAI MAIN ROAD ,ERODE ,TAMIL NADU,638011,DEALER,,,9787771234
17,SUPRITHA FURNISHING,"ANURADHA COMPLEX, 333 BANGALORE ROAD",KRISHNAGIRI,KRISHNAGIRI,TAMIL NADU,635001,DEALER,,,9894030739
39,KAVERI STORES,"11A, PERUMANDI MAIN ROAD",OPP PETROL BUNK (NEAR BHAVANI GAS AGENCIES),KUMBAKONAM (THANJAVUR DIST),TAMIL NADU,612001,DEALER,,,9443395925
4,CHANDINI AGENCIES,"NO. 95,",WEST AVANI MOOLA STREET,MADURAI,TAMIL NADU,625001,EXCLUSIVE SHOWROOM,,9500999870,9842139000
15,SAPPHIRE FURNITURE,"NO 56 GRACE TOWERS,", TAMIL SANGAM ROAD,MADURAI,TAMIL NADU, 625001,DEALER,,,9842174632
36,DARLING FURNITURE - PONDICHERRY,43,VILLIYANUR ROAD ,PUDHUCHERRY,PUDHUCHERRY,605005,DEALER,,,8870781783
2,COMFORT ZONE,"SHOP NO. 7 & 8, KPR COMPLEX, DOOR NO. 80B",CHERRY ROAD ,SALEM,TAMIL NADU,636007,EXCLUSIVE SHOWROOM,0427-4550330,,9952334006
32,VALLI & CO,"311, OPP NEW CINEMA",TRICHY MIAN ROAD ,SALEM,TAMIL NADU,636006,DEALER,,,8870765647
33,VALLI & CO,"NO.133, SARADHA COLLEGE ROAD",NEAR SARADHA COLLEGE BUS STOP,SALEM,TAMIL NADU,636016,DEALER,,,9600277288
